phecode,phecode_str
250.13,Type 1 diabetes with ophthalmic manifestations
250.14,Type 1 diabetes with neurological manifestations
250.15,Diabetes type 1 with peripheral circulatory disorders
250.2,Type 2 diabetes
250.21,Type 2 diabetes with ketoacidosis
250.22,Type 2 diabetes with renal manifestations
250.23,Type 2 diabetes with ophthalmic manifestations
250.24,Type 2 diabetes with neurological manifestations
250.25,Diabetes type 2 with peripheral circulatory disorders
250.3,Insulin pump user
250.41,Impaired fasting glucose
250.42,Other abnormal glucose
250.5,Glycosuria or Acetonuria
250.6,Polyneuropathy in diabetes
250.7,Diabetic retinopathy
251,Other disorders of pancreatic internal secretion
251.1,Hypoglycemia
251.8,Abnormality of secretion of glucagon or gastrin
252,Disorders of parathyroid gland
252.1,Hyperparathyroidism
252.2,Hypoparathyroidism
253,Disorders of the pituitary gland and its hypothalamic control
253.1,Pituitary hyperfunction
253.11,Acromegaly and gigantism
253.2,Pituitary hypofunction
253.3,Diabetes insipidus
253.4,Anterior pituitary disorders
253.7,Other disorders of neurohypophysis
254,Diseases of thymus gland
255,Disorders of adrenal glands
255.1,Adrenal hyperfunction
255.11,Cushing's syndrome
255.12,Hyperaldosteronism
255.2,Adrenal hypofunction
255.21,Glucocorticoid deficiency
255.3,Adrenogenital disorders
256,Ovarian dysfunction
256.4,Polycystic ovaries
257.1,Testicular hypofunction
258,Iatrogenic endocrine disorders
258.1,Postablative ovarian failure
259,Other endocrine disorders
259.2,Carcinoid syndrome
259.8,Polyglandular activity in multiple endocrine adenomatosis
260,Protein-calorie malnutrition
260.1,Cachexia
260.2,severe protein-calorie malnutrition
260.21,Kwashiorkor
260.22,Nutritional marasmus
260.3,Adult failure to thrive
260.6,Anorexia
260.7,Polyphagia
261,Vitamin deficiency
261.1,Vitamin A deficiency
261.2,Vitamin B-complex deficiencies
261.3,Vitamin C deficiencies
261.4,Vitamin D deficiency
261.41,Rickets or osteomalacia
262,Mineral deficiency NEC
263,Other nutritional deficiency
264.1,Short stature
264.2,Failure to thrive (childhood)
264.9,"Lack of normal physiological development, unspecified"
269,Proteinuria
270.1,Disturbances of amino-acid transport
270.11,Disturbances of sulphur-bearing amino-acid metabolism
270.2,Disorders of amino-acid metabolism
270.21,Disorders of urea cycle metabolism
270.3,Disorders of plasma protein metabolism
270.31,Polyclonal hypergammaglobulinemia
270.32,Paraproteinemia
270.33,Amyloidosis
270.34,Alpha-1-antitrypsin deficiency
270.35,Macroglobulinemia
270.38,Other specified disorders of plasma protein metabolism
271.3,Intestinal disaccharidase deficiencies and disaccharide malabsorption
271.9,Other disorders of carbohydrate transport and metabolism
272.1,Hyperlipidemia
272.11,Hypercholesterolemia
272.12,Hyperglyceridemia
272.13,Mixed hyperlipidemia
272.14,Hyperchylomicronemia
272.9,Unspecified disorder of lipoid metabolism
274.1,Gout
274.11,Gouty arthropathy
274.2,Crystal arthropathies
274.21,Chondrocalcinosis
275,Disorders of mineral metabolism
275.1,Disorders of iron metabolism
275.11,Hereditary hemochromatosis
275.2,Disorders of copper metabolism
275.3,Disorders of magnesium metabolism
275.5,Disorders of calcium/phosphorus metabolism
275.51,Hypocalcemia
275.53,Disorders of phosphorus metabolism
275.6,Hypercalcemia
276.1,Electrolyte imbalance
276.11,Hyperosmolality and/or hypernatremia
276.12,Hyposmolality and/or hyponatremia
276.13,Hyperpotassemia
276.14,Hypopotassemia
276.4,Acid-base balance disorder
276.41,Acidosis
276.42,Alkalosis
276.5,Hypovolemia
276.6,Fluid overload
276.8,Polydipsia
277,Other disorders of metabolism
277.1,Disorders of porphyrin metabolism
277.4,Disorders of bilirubin excretion
277.5,Other disorders of lipoid metabolism
277.51,Lipoprotein disorders
277.6,Other deficiencies of circulating enzymes
277.7,Dysmetabolic syndrome X
277.8,Carnitine deficiencies
278,"Overweight, obesity and other hyperalimentation"
278.1,Obesity
278.11,Morbid obesity
278.3,Localized adiposity
278.4,Abnormal weight gain
279,Disorders involving the immune mechanism
279.1,Immunity deficiency
279.11,Deficiency of humoral immunity
279.2,Autoimmune disease NEC
279.7,Other immunological findings
279.8,Other specified disorders involving the immune mechanism
280.1,"Iron deficiency anemias, unspecified or not due to blood loss"
280.2,Iron deficiency anemia secondary to blood loss (chronic)
281,Other deficiency anemia
281.1,Megaloblastic anemia
281.11,Pernicious anemia
281.12,Other vitamin B12 deficiency anemia
281.13,Folate-deficiency anemia
281.9,Deficiency anemias
282.5,Sickle cell anemia
282.8,Other hemoglobinopathies
282.9,Other hereditary hemolytic anemias
283,Acquired hemolytic anemias
283.1,Autoimmune hemolytic anemias
283.2,Non-autoimmune hemolytic anemias
283.21,Hemolytic-uremic syndrome
284,Aplastic anemia
284.1,Pancytopenia
284.2,Constitutional aplastic anemia
285,Other anemias
285.1,Acute posthemorrhagic anemia
285.2,Anemia of chronic disease
285.21,Anemia in chronic kidney disease
285.22,Anemia in neoplastic disease
285.8,Hemoglobinuria
286.1,Congenital coagulation defects
286.11,Von willebrand's disease
286.12,Congenital deficiency of other clotting factors (including factor VII)
286.13,Congenital factor VIII disorder
286.2,Encounter for long-term (current) use of anticoagulants
286.3,Coagulation defects complicating pregnancy or postpartum
286.4,Acquired coagulation factor deficiency
286.5,Hemorrhagic disorder due to intrinsic circulating anticoagulants
286.6,Defibrination syndrome
286.7,Other and unspecified coagulation defects
286.8,Hypercoagulable state
286.81,Primary hypercoagulable state
286.9,Abnormal coagulation profile
287,Purpura and other hemorrhagic conditions
287.1,Spontaneous ecchymoses
287.2,Allergic purpura
287.3,Thrombocytopenia
287.31,Primary thrombocytopenia
287.32,Secondary thrombocytopenia
287.4,Qualitative platelet defects
288,Diseases of white blood cells
288.1,Decreased white blood cell count
288.11,Neutropenia
288.2,Elevated white blood cell count
288.3,Eosinophilia
289,Other diseases of blood and blood-forming organs
289.1,Myelofibrosis
289.3,Personal history of diseases of blood and blood-forming organs
289.4,Lymphadenitis
289.5,Diseases of spleen
289.8,"Polycythemia, secondary"
289.9,Abnormality of red blood cells
290,Delirium dementia and amnestic and other cognitive disorders
290.1,Dementias
290.11,Alzheimer's disease
290.12,Dementia with cerebral degenerations
290.13,Senile dementia
290.16,Vascular dementia
290.2,Delirium due to conditions classified elsewhere
290.3,Other persistent mental disorders due to conditions classified elsewhere
291.1,Transient mental disorders due to conditions classified elsewhere
291.4,Specific nonpsychotic mental disorders due to brain damage
291.8,Alteration of consciousness
292,Neurological disorders
292.1,Aphasia/speech disturbance
292.11,Aphasia
292.12,Symbolic dysfunction
292.2,Mild cognitive impairment
292.3,Memory loss
292.4,Altered mental status
292.5,Transient alteration of awareness
292.6,Hallucinations
293,Symptoms involving head and neck
293.1,"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]"
295,Schizophrenia and other psychotic disorders
295.1,Schizophrenia
295.2,Paranoid disorders
295.3,Psychosis
296,Mood disorders
296.1,Bipolar
296.2,Depression
296.22,Major depressive disorder
297,Suicidal ideation or attempt
297.1,Suicidal ideation
297.2,Suicide or self-inflicted injury
300,Anxiety disorders
300.1,Anxiety disorder
300.11,Generalized anxiety disorder
300.12,"Agorophobia, social phobia, and panic disorder"
300.13,Phobia
300.3,Obsessive-compulsive disorders
300.4,Dysthymic disorder
300.8,Acute reaction to stress
300.9,Posttraumatic stress disorder
301,Personality disorders
301.2,Antisocial/borderline personality disorder
302,Sexual and gender identity disorders
303,Psychogenic and somatoform disorders
303.1,Dissociative disorder
303.3,Psychogenic disorder
303.31,Gastrointestinal malfunction arising from mental factors
303.4,Somatoform disorder
304,Adjustment reaction
305.2,Eating disorder
305.21,Anorexia nervosa
306,Other mental disorder
306.1,Mental disorders durring/after pregnancy
306.9,Tension headache
312,Conduct disorders
312.3,Impulse control disorder
313,Pervasive developmental disorders
313.1,Attention deficit hyperactivity disorder
313.2,Tics and stuttering
313.3,Autism
315,Develomental delays and disorders
315.1,Learning disorder
315.2,Speech and language disorder
315.3,Mental retardation
316,Substance addiction and disorders
316.1,Polyneuropathy due to drugs
317,Alcohol-related disorders
317.1,Alcoholism
317.11,Alcoholic liver damage
318,Tobacco use disorder
320,Meningitis
323,Encephalitis
323.2,Acute (transverse) myelitis
323.8,"Encephalitis, non-infectious"
324,Other CNS infection and poliomyelitis
325,Phlebitis and thrombophlebitis of intracranial venous sinuses
327,Sleep disorders
327.1,Hypersomnia
327.3,Sleep apnea
327.31,Central/nonobstroctive sleep apnea
327.32,Obstructive sleep apnea
327.4,Insomnia
327.41,Organic or persistent insomnia
327.5,Parasomnia
327.6,Circadian rhythm sleep disorder
327.7,Sleep related movement disorders
327.71,Restless legs syndrome
331,Other cerebral degenerations
331.1,Hydrocephalus
331.9,"Cerebral degeneration, unspecified"
332,Parkinson's disease
333,Extrapyramidal disease and abnormal movement disorders
333.1,Essential tremor
333.2,Myoclonus
333.3,Tics and choreas
333.4,Torsion dystonia
333.8,Other degenerative diseases of the basal ganglia
334,Degenerative disease of the spinal cord
334.1,Spinocerebellar disease
334.2,Anterior horn cell disease
334.21,Amyotrophic Lateral Sclerosis
335,Multiple sclerosis
337,Disorders of the autonomic nervous system
337.1,Peripheral autonomic neuropathy
338.1,Acute pain
338.2,Chronic pain
339,Other headache syndromes
340,Migraine
340.1,Migrain with aura
341,Other demyelinating diseases of central nervous system
342,Hemiplegia
343,Infantile cerebral palsy
344,Other paralytic syndromes
345,"Epilepsy, recurrent seizures, convulsions"
345.1,Epilepsy
345.11,Generalized convulsive epilepsy
345.12,Partial epilepsy
345.3,Convulsions
346,Abnormal findings on study of brain and/or nervous system
346.1,Nonspecific abnormal findings on radiological and other examination of skull and head
346.2,Nonspecific abnormal results of function study of brain and central nervous system
346.3,Nonspecific abnormal findings in cerebrospinal fluid
347,Cataplexy and narcolepsy
348,Other conditions of brain
348.2,Cerebral edema and compression of brain
348.4,Cerebral cysts
348.7,Coma
348.8,"Encephalopathy, not elsewhere classified"
348.9,"Other conditions of brain, NOS"
349,Other and unspecified disorders of the nervous system
350.1,Abnormal involuntary movements
350.2,Abnormality of gait
350.3,Lack of coordination
350.5,Abnormal reflex
350.6,Disturbances of sensation of smell and taste
351,Other peripheral nerve disorders
352,Disorders of other cranial nerves
352.1,Trigeminal nerve disorders [CN5]
352.2,Facial nerve disorders [CN7]
353,Nerve root and plexus disorders
353.1,Nerve plexus lesions
353.2,Nerve root lesions
355,Complex regional/central pain syndrome
355.1,Chronic pain syndrome
356,Hereditary and idiopathic peripheral neuropathy
357,Inflammatory and toxic neuropathy
358,Myoneural disorders
358.1,Myasthenia gravis
359.1,Muscular dystrophies
359.2,Myopathy
360,Disorders of the globe
360.2,Progressive myopia
361,Retinal detachments and defects
361.1,Retinal detachment with retinal defect
361.2,Retinoschisis and retinal cysts
362,Other retinal disorders
362.21,"Macular degeneration, dry"
362.22,"Macular degeneration, wet"
362.23,Cystoid macular degeneration of retina
362.26,Macular puckering of retina
362.27,Drusen (degenerative) of retina
362.29,Macular degeneration (senile) of retina NOS
362.3,Other nondiabetic retinopathy
362.31,Separation of retinal layers
362.4,Retinal vascular changes and abnomalities
362.5,Toxic maculopathy of retina
362.6,Peripheral retinal degenerations
362.7,Hereditary retinal dystrophies
362.8,Retinal hemorrhage/ischemia
362.9,Retinal edema
363,"Chorioretinal inflammations, scars, and other disorders of choroid"
363.3,Chorioretinal scars
364,Corneal opacity and other disorders of cornea
364.1,Corneal opacity
364.2,Corneal edema
364.4,Corneal degenerations
364.41,Keratoconus
364.5,Corneal dystrophy
364.51,Fuchs' dystrophy
364.9,Cornea replaced by transplant
365,Glaucoma
365.1,Open-angle glaucoma
365.11,Primary open angle glaucoma
365.2,Primary angle-closure glaucoma
365.5,Pseudoexfoliation glaucoma
366,Cataract
366.1,Nonsenile Cataract
366.2,Senile cataract
367,Disorders of refraction and accommodation; blindness and low vision
367.1,Myopia
367.2,Astigmatism
367.4,Presbyopia
367.8,Hypermetropia
367.9,Blindness and low vision
368,Visual disturbances
368.1,Amblyopia
368.2,Diplopia and disorders of binocular vision
368.3,Anisometropia
368.4,Visual field defects
368.5,Color vision deficiencies
368.7,Disorders of accommodation
368.9,Subjective visual disturbances
368.91,Psychophysical visual disturbances
369,Infection of the eye
369.2,"Eye infection, viral"
369.5,"Conjunctivitis, infectious"
370,Keratitis
370.1,Corneal ulcer
370.2,Superficial keratitis
370.3,Keratoconjunctivitis
370.31,Keratoconjunctivitis sicca
371,Inflammation of the eye
371.1,"Uveitis, noninfectious or NOS"
371.21,Allergic conjunctivitis
371.3,Inflammation of eyelids
372,Disorders of conjunctiva
374,Other disorders of eyelids
374.1,Ectropion or entropion
374.2,Lagophthalmos
374.3,Ptosis of eyelid
374.6,Dermatochalasis
375.1,Dry eyes
375.2,Epiphora
376,Disorders of the orbit
377,Disorders of optic nerve and visual pathways
377.1,Optic atrophy
377.3,Optic neuritis/neuropathy
378,Strabismus and other disorders of binocular eye movements
378.1,Strabismus (not specified as paralytic)
378.2,Nystagmus and other irregular eye movements
378.5,Paralytic strabismus
379,Other disorders of eye
379.1,Scleritis and episcleritis
379.2,Disorders of vitreous body
379.3,Aphakia and other disorders of lens
379.4,Anomalies of pupillary function
379.5,Disorders of iris and ciliary body
379.51,Pigmentary iris degeneration
379.9,"Pain, swelling or discharge of eye"
380,Disorders of external ear
380.1,Otitis externa
380.4,Impacted cerumen
381.1,Otitis media
381.11,Suppurative and unspecified otitis media
381.2,Eustachian tube disorders
381.3,Mastoiditis & related conditions
381.9,Otorrhea
382,Otalgia
384,Other disorders of tympanic membrane
384.1,Myringitis
384.4,Perforation of tympanic membrane
385,Other disorders of middle ear and mastoid
385.3,Cholesteatoma
385.5,Tympanosclerosis and middle ear disease related to otitis media
386,Vertiginous syndromes and other disorders of vestibular system
386.1,Meniere's disease
386.2,Peripheral or central vertigo
386.3,Labyrinthitis
386.9,Dizziness and giddiness (Light-headedness and vertigo)
388,Other disorders of ear
389,Hearing loss
389.1,Sensorineural hearing loss
389.2,Conductive hearing loss
389.3,Degenerative and vascular disorders of ear
389.4,Tinnitus
394,Rheumatic disease of the heart valves
394.1,Mitral valve stenosis and aortic valve stenosis
394.2,Mitral valve disease
394.3,Aortic valve disease
394.4,Acute rheumatic heart disease
394.7,Disease of tricuspid valve
395,Heart valve disorders
395.1,Nonrheumatic mitral valve disorders
395.2,Nonrheumatic aortic valve disorders
395.3,Nonrheumatic tricuspid valve disorders
395.4,Nonrheumatic pulmonary valve disorders
395.6,Heart valve replaced
396,Abnormal heart sounds
401,Hypertension
401.1,Essential hypertension
401.2,Hypertensive heart and/or renal disease
401.21,Hypertensive heart disease
401.22,Hypertensive chronic kidney disease
401.3,Other hypertensive complications
402,Elevated blood pressure reading without diagnosis of hypertension
411.1,Unstable angina (intermediate coronary syndrome)
411.2,Myocardial infarction
411.3,Angina pectoris
411.4,Coronary atherosclerosis
411.41,Aneurysm and dissection of heart
411.8,"Other chronic ischemic heart disease, unspecified"
411.9,Other acute and subacute forms of ischemic heart disease
414,Other forms of chronic heart disease
414.2,ASCVD
415,Pulmonary heart disease
415.1,Acute pulmonary heart disease
415.11,"Pulmonary embolism and infarction, acute"
415.2,Chronic pulmonary heart disease
415.21,Primary pulmonary hypertension
416,Cardiomegaly
418,Nonspecific chest pain
418.1,Precordial pain
420.1,Myocarditis
420.2,Pericarditis
420.21,Acute pericarditis
420.22,Chronic pericarditis
420.3,Endocarditis
425.1,Primary/intrinsic cardiomyopathies
425.11,Hypertrophic obstructive cardiomyopathy
425.12,Other hypertrophic cardiomyopathy
425.2,Secondary/extrinsic cardiomyopathies
425.8,Other cardiomyopathy
426,Cardiac conduction disorders
426.2,Atrioventricular [AV] block
426.21,First degree AV block
426.22,Mobitz II AV block
426.23,Second degree AV block
426.24,"Atrioventricular block, complete"
426.25,Other heart block
426.3,Bundle branch block
426.31,Right bundle branch block
426.32,Left bundle branch block
426.4,Anomalous atrioventricular excitation
426.7,Abnormal electrocardiogram [ECG] [EKG]
426.8,Other cardiac conduction disorders
426.9,Cardiac pacemaker/device in situ
426.91,Cardiac pacemaker in situ
426.92,Cardiac defibrillator in situ
427.1,"Paroxysmal tachycardia, unspecified"
427.11,Paroxysmal supraventricular tachycardia
427.12,Paroxysmal ventricular tachycardia
427.21,Atrial fibrillation
427.22,Atrial flutter
427.3,Other specified cardiac dysrhythmias
427.41,Ventricular fibrillation and flutter
427.42,Cardiac arrest
427.5,Arrhythmia (cardiac) NOS
427.6,Premature beats
427.61,Supraventricular premature beats
427.7,Tachycardia NOS
427.8,Sinoatrial node dysfunction (Bradycardia)
427.9,Palpitations
428.1,Congestive heart failure (CHF) NOS
428.2,Heart failure NOS
428.3,Heart failure with reduced EF [Systolic or combined heart failure]
428.4,Heart failure with preserved EF [Diastolic heart failure]
429.1,Heart transplant/surgery
429.2,Abnormal function study of cardiovascular system
429.3,Symptoms involving cardiovascular system
429.9,"Cardiac complications, not elsewhere classified"
430,Intracranial hemorrhage
430.1,Subarachnoid hemorrhage
430.2,Intracerebral hemorrhage
430.3,Subdural hemorrhage
433,Cerebrovascular disease
433.1,Occlusion and stenosis of precerebral arteries
433.11,"Occlusion of cerebral arteries, with cerebral infarction"
433.12,Cerebral atherosclerosis
433.2,Occlusion of cerebral arteries
433.21,"Cerebral artery occlusion, with cerebral infarction"
433.3,Cerebral ischemia
433.31,Transient cerebral ischemia
433.32,Moyamoya disease
433.5,Cerebral aneurysm
433.6,"Acute, but ill-defined cerebrovascular disease"
433.8,Late effects of cerebrovascular disease
440,Atherosclerosis
440.1,Atherosclerosis of renal artery
440.2,Atherosclerosis of the extremities
440.21,Atherosclerosis of native arteries of the extremities with ulceration or gangrene
440.22,Atherosclerosis of native arteries of the extremities with intermittent claudication
440.9,Atherosclerosis of aorta
441,Vascular insufficiency of intestine
441.1,Acute vascular insufficiency of intestine
441.2,Chronic vascular insufficiency of intestine
442,Other aneurysm
442.1,Aortic aneurysm
442.11,Abdominal aortic aneurysm
442.2,Aneurysm of iliac artery
442.3,Aneurysm of artery of lower extremity
442.4,Arterial dissection
442.8,Aneurysm of other specified artery
443.1,Raynaud's syndrome
443.7,Peripheral angiopathy in diseases classified elsewhere
443.8,Other specified peripheral vascular diseases
443.9,"Peripheral vascular disease, unspecified"
444,Arterial embolism and thrombosis
444.1,Arterial embolism and thrombosis of lower extremity artery
444.2,Embolism and thrombosis of abdominal aorta
444.5,Atheroembolism
446.2,Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)
446.3,Hypersensitivity angiitis
446.4,Wegener's granulomatosis
446.5,Giant cell arteritis
446.6,Polyarteritis nodosa
446.7,Takayasu's disease
446.8,Thrombotic microangiopathy
446.9,Arteritis NOS
447,Other disorders of arteries and arterioles
447.1,Stricture of artery
447.7,Aortic ectasia
448,Disease of capillaries
450,Noninfectious disorders of lymphatic channels
451,Phlebitis and thrombophlebitis
451.2,Phlebitis and thrombophlebitis of lower extremities
452,Other venous embolism and thrombosis
452.1,Iatrogenic pulmonary embolism and infarction
452.2,Deep vein thrombosis [DVT]
453,Chronic venous hypertension
454,Varicose veins
454.1,Varicose veins of lower extremity
454.11,"Varicose veins of lower extremity, symptomtic"
455,Hemorrhoids
456,Chronic venous insufficiency [CVI]
457.2,Encounter for long-term (current) use of antiplatelets/antithrombotics
457.3,Encounter for long-term (current) use of aspirin
458,Hypotension
458.1,Orthostatic hypotension
458.2,Iatrogenic hypotension
458.9,Hypotension NOS
459,Other disorders of circulatory system
459.1,Hemorrhage NOS
459.7,Blood vessel replaced
459.9,Circulatory disease NEC
464,Acute sinusitis
465,Acute upper respiratory infections of multiple or unspecified sites
465.2,Acute pharyngitis
465.4,Acute laryngitis and tracheitis
470,Septal Deviations/Turbinate Hypertrophy
471,Nasal polyps
472,Chronic pharyngitis and nasopharyngitis
473,Diseases of the larynx and vocal cords
473.1,Chronic laryngitis
473.3,Paralysis/spasm of vocal cords or larynx
473.4,Voice disturbance
474,Acute and chronic tonsillitis
474.1,Acute tonsillitis
474.2,Chronic tonsillitis and adenoiditis
475,Chronic sinusitis
475.9,Postnasal drip
476,Allergic rhinitis
477,Epistaxis or throat hemorrhage
478,Throat pain
479,Other upper respiratory disease
480,Pneumonia
480.1,Bacterial pneumonia
480.11,Pneumococcal pneumonia
480.12,Pseudomonal pneumonia
480.13,MRSA pneumonia
480.2,Viral pneumonia
480.3,Pneumonia due to fungus (mycoses)
480.5,Bronchopneumonia and lung abscess
481,Influenza
483,Acute bronchitis and bronchiolitis
495,Asthma
495.1,Chronic obstructive asthma
